timestamp,src_host,dst_country,protocol,packet_count,bytes_out,flow_duration_ms,label,hour
2024-02-01 00:02:48,host-8,US,HTTP,41,8814,182,Normal,0
2024-02-01 00:03:19,host-35,US,NTP,14,2476,135,Normal,0
2024-02-01 00:04:19,host-15,FR,HTTPS,81,8015,773,Normal,0
2024-02-01 00:07:10,host-35,DE,DNS,67,10615,46,Normal,0
2024-02-01 00:07:55,host-28,GB,HTTP,29,8555,384,Normal,0
2024-02-01 00:08:26,host-6,DE,HTTPS,55,12770,658,Normal,0
2024-02-01 00:09:38,host-3,IL,NTP,78,5590,427,Normal,0
2024-02-01 00:10:03,host-36,GB,HTTP,83,7800,761,Normal,0
2024-02-01 00:10:25,host-3,IL,DNS,108,10982,121,Normal,0
2024-02-01 00:11:29,host-7,DE,HTTP,68,13454,206,Normal,0
2024-02-01 00:13:08,host-23,CA,HTTP,99,3839,663,Normal,0
2024-02-01 00:15:55,host-11,FR,DNS,30,16647,428,Normal,0
2024-02-01 00:17:09,host-36,CA,HTTP,117,3332,274,Normal,0
2024-02-01 00:17:22,host-21,DE,HTTP,18,8413,620,Normal,0
2024-02-01 00:18:47,host-14,IL,NTP,60,16535,186,Normal,0
2024-02-01 00:19:20,host-20,CN,FTP,1398,703724,2949,Exfiltration,0
2024-02-01 00:19:59,host-9,CA,HTTP,105,15538,637,Normal,0
2024-02-01 00:21:46,host-24,CA,DNS,75,17671,133,Normal,0
2024-02-01 00:22:03,host-8,CA,DNS,111,15333,650,Normal,0
2024-02-01 00:22:24,host-25,DE,NTP,77,9738,606,Normal,0
2024-02-01 00:22:31,host-8,IL,HTTP,108,12646,154,Normal,0
2024-02-01 00:23:51,host-28,CA,NTP,10,10130,552,Normal,0
2024-02-01 00:24:41,host-33,US,HTTP,117,18135,663,Normal,0
2024-02-01 00:25:36,host-10,GB,DNS,79,18878,40,Normal,0
2024-02-01 00:28:14,host-21,DE,HTTPS,24,13394,354,Normal,0
2024-02-01 00:29:20,host-4,CA,HTTPS,20,17424,110,Normal,0
2024-02-01 00:31:41,host-9,CA,NTP,80,6910,311,Normal,0
2024-02-01 00:34:01,host-39,DE,DNS,79,8091,770,Normal,0
2024-02-01 00:35:25,host-26,IL,HTTP,66,18459,502,Normal,0
2024-02-01 00:36:00,host-16,CA,HTTPS,53,2189,642,Normal,0
